epoch, training loss, rmse loss, validation loss
798,32.094,32.094,0.000
799,31.964,31.964,0.000
800,31.936,31.936,0.000
801,31.985,31.985,0.000
802,31.942,31.942,0.000
803,31.968,31.968,0.000
804,31.919,31.919,0.000
805,31.930,31.930,0.000
806,31.921,31.921,0.000
807,31.996,31.996,0.000
808,31.903,31.903,0.000
809,31.945,31.945,0.000
810,32.026,32.026,0.000
811,32.071,32.071,0.000
812,32.082,32.082,0.000
813,32.055,32.055,0.000
814,31.938,31.938,0.000
815,32.042,32.042,0.000
816,32.016,32.016,0.000
817,32.039,32.039,0.000
818,32.005,32.005,0.000
819,31.934,31.934,0.000
820,31.936,31.936,0.000
821,32.009,32.009,0.000
822,32.014,32.014,0.000
823,32.043,32.043,0.000
824,31.999,31.999,0.000
825,31.980,31.980,0.000
826,31.974,31.974,0.000
827,31.964,31.964,0.000
828,32.043,32.043,0.000
829,31.960,31.960,0.000
830,31.920,31.920,0.000
831,32.039,32.039,0.000
832,31.954,31.954,0.000
833,31.926,31.926,0.000
834,32.064,32.064,0.000
835,31.980,31.980,0.000
836,32.033,32.033,0.000
837,32.041,32.041,0.000
838,31.991,31.991,0.000
839,32.012,32.012,0.000
840,32.047,32.047,0.000
841,31.980,31.980,0.000
842,31.954,31.954,0.000
843,32.066,32.066,0.000
844,31.981,31.981,0.000
845,32.026,32.026,0.000
846,31.978,31.978,0.000
847,31.980,31.980,0.000
848,32.025,32.025,0.000
849,31.915,31.915,0.000
850,31.983,31.983,0.000
851,31.911,31.911,0.000
852,31.987,31.987,0.000
853,31.955,31.955,0.000
854,31.997,31.997,0.000
855,31.963,31.963,0.000
856,31.989,31.989,0.000
857,31.898,31.898,0.000
858,31.976,31.976,0.000
859,32.005,32.005,0.000
860,31.945,31.945,0.000
861,31.872,31.872,0.000
862,31.950,31.950,0.000
863,32.024,32.024,0.000
864,31.980,31.980,0.000
865,32.056,32.056,0.000
866,31.903,31.903,0.000
867,31.998,31.998,0.000
868,31.998,31.998,0.000
869,31.976,31.976,0.000
870,32.017,32.017,0.000
871,31.865,31.865,0.000
872,31.981,31.981,0.000
873,32.016,32.016,0.000
874,32.028,32.028,0.000
875,31.952,31.952,0.000
876,31.972,31.972,0.000
877,31.980,31.980,0.000
878,31.892,31.892,0.000
879,31.958,31.958,0.000
880,31.986,31.986,0.000
881,31.980,31.980,0.000
882,31.909,31.909,0.000
883,31.939,31.939,0.000
884,31.918,31.918,0.000
885,31.971,31.971,0.000
886,32.002,32.002,0.000
887,31.961,31.961,0.000
888,32.022,32.022,0.000
889,31.908,31.908,0.000
890,31.885,31.885,0.000
891,31.997,31.997,0.000
892,31.924,31.924,0.000
893,31.917,31.917,0.000
894,31.909,31.909,0.000
895,31.943,31.943,0.000
896,31.823,31.823,0.000
897,31.993,31.993,0.000
898,31.970,31.970,0.000
899,32.025,32.025,0.000
900,32.028,32.028,0.000
901,31.903,31.903,0.000
902,31.993,31.993,0.000
903,31.959,31.959,0.000
904,32.006,32.006,0.000
905,31.933,31.933,0.000
906,31.913,31.913,0.000
907,31.969,31.969,0.000
908,32.002,32.002,0.000
909,31.959,31.959,0.000
910,32.045,32.045,0.000
911,32.006,32.006,0.000
912,31.971,31.971,0.000
913,31.968,31.968,0.000
914,31.974,31.974,0.000
915,31.893,31.893,0.000
916,31.836,31.836,0.000
917,31.942,31.942,0.000
918,31.981,31.981,0.000
919,32.029,32.029,0.000
920,31.871,31.871,0.000
921,31.957,31.957,0.000
922,31.956,31.956,0.000
923,31.871,31.871,0.000
924,31.950,31.950,0.000
925,31.922,31.922,0.000
926,31.950,31.950,0.000
927,31.951,31.951,0.000
928,31.920,31.920,0.000
929,31.911,31.911,0.000
930,31.917,31.917,0.000
931,31.972,31.972,0.000
932,31.982,31.982,0.000
933,31.920,31.920,0.000
934,31.849,31.849,0.000
935,31.980,31.980,0.000
936,31.953,31.953,0.000
937,32.011,32.011,0.000
938,31.938,31.938,0.000
939,31.949,31.949,0.000
940,31.916,31.916,0.000
941,31.977,31.977,0.000
942,31.931,31.931,0.000
943,31.986,31.986,0.000
944,32.007,32.007,0.000
945,31.880,31.880,0.000
946,31.801,31.801,0.000
947,31.960,31.960,0.000
948,31.997,31.997,0.000
949,31.845,31.845,0.000
950,31.961,31.961,0.000
951,31.941,31.941,0.000
952,31.951,31.951,0.000
953,31.954,31.954,0.000
954,31.936,31.936,0.000
955,31.960,31.960,0.000
956,31.986,31.986,0.000
957,31.996,31.996,0.000
958,31.964,31.964,0.000
959,31.946,31.946,0.000
960,31.955,31.955,0.000
961,31.872,31.872,0.000
962,31.991,31.991,0.000
963,31.898,31.898,0.000
964,31.989,31.989,0.000
965,31.938,31.938,0.000
966,31.971,31.971,0.000
967,31.947,31.947,0.000
968,31.944,31.944,0.000
969,31.909,31.909,0.000
970,31.973,31.973,0.000
971,32.024,32.024,0.000
972,31.906,31.906,0.000
973,31.934,31.934,0.000
974,31.906,31.906,0.000
975,31.969,31.969,0.000
976,31.965,31.965,0.000
977,32.019,32.019,0.000
978,31.888,31.888,0.000
979,31.868,31.868,0.000
980,32.000,32.000,0.000
981,31.988,31.988,0.000
982,31.942,31.942,0.000
983,31.957,31.957,0.000
984,31.884,31.884,0.000
985,31.993,31.993,0.000
986,31.937,31.937,0.000
987,31.929,31.929,0.000
988,31.910,31.910,0.000
989,31.902,31.902,0.000
990,31.978,31.978,0.000
